"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg21505923",0.0048,0.001,7.7e-07,1e-04,"smoking","F001"
"cg13562284",0.0047,9e-04,7.7e-07,1e-04,"smoking","F001"
"cg06002638",-0.006,0.0012,7.7e-07,1e-04,"smoking","F001"
"cg07162320",-0.0133,0.0027,7.7e-07,1e-04,"smoking","F001"
"cg13483196",-0.009,0.0018,7.8e-07,1e-04,"smoking","F001"
"cg17973115",0.0053,0.0011,7.8e-07,1e-04,"smoking","F001"
"cg02026611",-0.0039,8e-04,7.8e-07,1e-04,"smoking","F001"
"cg24149237",-0.0105,0.0021,7.8e-07,1e-04,"smoking","F001"
"cg25073093",-0.0065,0.0013,7.9e-07,1e-04,"smoking","F001"
"cg25247520",-0.007,0.0014,7.9e-07,1e-04,"smoking","F001"
"cg26629730",-0.0052,0.0011,7.9e-07,1e-04,"smoking","F001"
"cg09052983",0.0019,4e-04,7.9e-07,1e-04,"smoking","F001"
"cg01572694",-0.0075,0.0015,7.9e-07,1e-04,"smoking","F001"
"cg06525651",0.0067,0.0014,7.9e-07,1e-04,"smoking","F001"
"cg01104590",0.0103,0.0021,8e-07,1e-04,"smoking","F001"
"cg03032677",-0.0042,9e-04,8e-07,1e-04,"smoking","F001"
"cg16880946",-0.0112,0.0023,8e-07,1e-04,"smoking","F001"
"cg04368724",0.0098,0.002,8e-07,1e-04,"smoking","F001"
"cg19402236",0.0062,0.0013,8.1e-07,1e-04,"smoking","F001"
"cg13660174",0.0082,0.0017,8.1e-07,1e-04,"smoking","F001"
"cg04526361",0.0032,6e-04,8.1e-07,1e-04,"smoking","F001"
"cg16255583",0.0055,0.0011,8.1e-07,1e-04,"smoking","F001"
"cg12490835",-0.01,0.002,8.1e-07,1e-04,"smoking","F001"
"cg03120555",0.0068,0.0014,8.1e-07,1e-04,"smoking","F001"
"cg00986580",0.0084,0.0017,8.1e-07,1e-04,"smoking","F001"
"cg11268190",0.0062,0.0013,8.2e-07,1e-04,"smoking","F001"
"cg23731595",-0.0067,0.0014,8.2e-07,1e-04,"smoking","F001"
"cg16316183",0.0053,0.0011,8.2e-07,1e-04,"smoking","F001"
"cg03626672",-0.0164,0.0033,8.2e-07,1e-04,"smoking","F001"
"cg08537367",0.0054,0.0011,8.2e-07,1e-04,"smoking","F001"
"cg14037218",-0.0083,0.0017,8.2e-07,1e-04,"smoking","F001"
"cg16274376",-0.0066,0.0013,8.2e-07,1e-04,"smoking","F001"
"cg10389771",-0.0099,0.002,8.2e-07,1e-04,"smoking","F001"
"cg00044665",0.004,8e-04,8.2e-07,1e-04,"smoking","F001"
"cg09419102",-0.007,0.0014,8.2e-07,1e-04,"smoking","F001"
"cg03852570",0.005,0.001,8.2e-07,1e-04,"smoking","F001"
"cg03334072",0.0089,0.0018,8.2e-07,1e-04,"smoking","F001"
"cg17536822",0.0058,0.0012,8.2e-07,1e-04,"smoking","F001"
"cg01711322",0.0077,0.0016,8.2e-07,1e-04,"smoking","F001"
"cg06806711",0.0109,0.0022,8.3e-07,1e-04,"smoking","F001"
"cg23931819",-0.0039,8e-04,8.3e-07,1e-04,"smoking","F001"
"cg06872036",-0.0055,0.0011,8.3e-07,1e-04,"smoking","F001"
"cg07408456",0.0072,0.0015,8.3e-07,1e-04,"smoking","F001"
"cg02584867",-0.0038,8e-04,8.4e-07,1e-04,"smoking","F001"
"cg16052901",-0.0119,0.0024,8.5e-07,1e-04,"smoking","F001"
"cg07618085",-0.0179,0.0036,8.5e-07,1e-04,"smoking","F001"
"cg05705212",-0.0061,0.0012,8.5e-07,1e-04,"smoking","F001"
"cg03471047",0.0055,0.0011,8.5e-07,1e-04,"smoking","F001"
"cg00749672",-0.0149,0.003,8.6e-07,1e-04,"smoking","F001"
"cg20265043",-0.0035,7e-04,8.6e-07,1e-04,"smoking","F001"
"cg04308185",-0.0119,0.0024,8.6e-07,1e-04,"smoking","F001"
"cg05869491",-0.0054,0.0011,8.6e-07,1e-04,"smoking","F001"
"cg07262247",-0.0092,0.0019,8.6e-07,1e-04,"smoking","F001"
"cg13883633",0.0052,0.0011,8.6e-07,1e-04,"smoking","F001"
"cg12781678",0.0029,6e-04,8.7e-07,1e-04,"smoking","F001"
"cg14359680",-0.0068,0.0014,8.7e-07,1e-04,"smoking","F001"
"cg03393889",0.0062,0.0013,8.7e-07,1e-04,"smoking","F001"
"cg22383924",-0.007,0.0014,8.7e-07,1e-04,"smoking","F001"
"cg16580935",-0.0052,0.0011,8.7e-07,1e-04,"smoking","F001"
"cg13224914",-0.006,0.0012,8.7e-07,1e-04,"smoking","F001"
"cg10374564",-0.003,6e-04,8.8e-07,1e-04,"smoking","F001"
"cg12207033",0.0024,5e-04,8.8e-07,1e-04,"smoking","F001"
"cg23580038",-0.0067,0.0014,8.8e-07,1e-04,"smoking","F001"
"cg21714061",-0.0123,0.0025,8.8e-07,1e-04,"smoking","F001"
"cg25966016",-0.0078,0.0016,8.8e-07,1e-04,"smoking","F001"
"cg09594075",-0.0074,0.0015,8.8e-07,1e-04,"smoking","F001"
"cg00238349",-0.0044,9e-04,8.9e-07,1e-04,"smoking","F001"
"cg14173815",-0.0058,0.0012,8.9e-07,1e-04,"smoking","F001"
"cg24107852",0.0058,0.0012,9e-07,1e-04,"smoking","F001"
"cg02555807",-0.0074,0.0015,9e-07,1e-04,"smoking","F001"
"cg14398883",0.0114,0.0023,9e-07,1e-04,"smoking","F001"
"cg25921609",0.0123,0.0025,9e-07,1e-04,"smoking","F001"
"cg24592500",-0.0129,0.0026,9e-07,1e-04,"smoking","F001"
"cg03078400",-0.0065,0.0013,9e-07,1e-04,"smoking","F001"
"cg14325436",-0.0114,0.0023,9.1e-07,1e-04,"smoking","F001"
"cg18642459",0.011,0.0022,9.1e-07,1e-04,"smoking","F001"
"cg21650077",0.0021,4e-04,9.1e-07,1e-04,"smoking","F001"
"cg16585234",-0.0111,0.0023,9.1e-07,1e-04,"smoking","F001"
"cg06170683",0.0088,0.0018,9.1e-07,1e-04,"smoking","F001"
"cg17769793",-0.0079,0.0016,9.1e-07,1e-04,"smoking","F001"
"cg23418219",0.0052,0.0011,9.2e-07,1e-04,"smoking","F001"
"cg18247179",-0.0049,0.001,9.2e-07,1e-04,"smoking","F001"
"cg24591105",-0.017,0.0035,9.2e-07,1e-04,"smoking","F001"
"cg03935183",-0.0042,9e-04,9.2e-07,1e-04,"smoking","F001"
"cg08490349",-0.0026,5e-04,9.2e-07,1e-04,"smoking","F001"
"cg04181150",0.0027,6e-04,9.2e-07,1e-04,"smoking","F001"
"cg09502149",-0.0075,0.0015,9.3e-07,1e-04,"smoking","F001"
"cg16457842",0.008,0.0016,9.3e-07,1e-04,"smoking","F001"
"cg08151705",0.0043,9e-04,9.3e-07,1e-04,"smoking","F001"
"cg00851088",0.0036,7e-04,9.3e-07,1e-04,"smoking","F001"
"cg05429448",0.0071,0.0015,9.3e-07,1e-04,"smoking","F001"
"cg08938062",-0.0049,0.001,9.3e-07,1e-04,"smoking","F001"
"cg03962691",0.0047,0.001,9.3e-07,1e-04,"smoking","F001"
"cg02480298",0.0044,9e-04,9.4e-07,1e-04,"smoking","F001"
"cg21385909",-0.0118,0.0024,9.4e-07,1e-04,"smoking","F001"
"cg13937758",-0.0115,0.0023,9.4e-07,1e-04,"smoking","F001"
"cg27274542",-0.0087,0.0018,9.4e-07,1e-04,"smoking","F001"
"cg08157292",-0.0051,0.001,9.4e-07,1e-04,"smoking","F001"
"cg08849294",-0.006,0.0012,9.4e-07,1e-04,"smoking","F001"
"cg07082186",-0.0019,4e-04,9.4e-07,1e-04,"smoking","F001"
"cg18279742",-0.0077,0.0016,9.5e-07,1e-04,"smoking","F001"
"cg26937868",0.0069,0.0014,9.5e-07,1e-04,"smoking","F001"
"cg08202399",-0.0064,0.0013,9.5e-07,1e-04,"smoking","F001"
"cg25785639",-0.0015,3e-04,9.5e-07,1e-04,"smoking","F001"
"cg25325512",-0.0108,0.0022,9.5e-07,1e-04,"smoking","F001"
"cg02695349",0.0093,0.0019,9.5e-07,1e-04,"smoking","F001"
"cg19157853",0.0058,0.0012,9.5e-07,1e-04,"smoking","F001"
"cg22879583",-0.0072,0.0015,9.5e-07,1e-04,"smoking","F001"
"cg09469566",0.0074,0.0015,9.5e-07,1e-04,"smoking","F001"
"cg23485307",0.0036,7e-04,9.5e-07,1e-04,"smoking","F001"
"cg08550317",-0.0037,8e-04,9.6e-07,1e-04,"smoking","F001"
"cg00989249",0.0065,0.0013,9.6e-07,1e-04,"smoking","F001"
"cg20728490",0.0115,0.0023,9.6e-07,1e-04,"smoking","F001"
"cg25843346",-0.0073,0.0015,9.6e-07,1e-04,"smoking","F001"
"cg02296171",0.0091,0.0019,9.7e-07,1e-04,"smoking","F001"
"cg12798274",-0.003,6e-04,9.7e-07,1e-04,"smoking","F001"
"cg07116972",0.0039,8e-04,9.7e-07,1e-04,"smoking","F001"
"cg15730491",-0.0103,0.0021,9.7e-07,1e-04,"smoking","F001"
"cg06348826",-0.0038,8e-04,9.7e-07,1e-04,"smoking","F001"
"cg15746620",0.0031,6e-04,9.7e-07,1e-04,"smoking","F001"
"cg00827210",-0.0034,7e-04,9.7e-07,1e-04,"smoking","F001"
"cg27262850",0.0057,0.0012,9.7e-07,1e-04,"smoking","F001"
"cg09481056",0.0046,9e-04,9.8e-07,1e-04,"smoking","F001"
"cg12112234",0.0042,8e-04,9.8e-07,1e-04,"smoking","F001"
"cg17451760",-0.0057,0.0012,9.8e-07,1e-04,"smoking","F001"
"cg17796323",0.0057,0.0012,9.8e-07,1e-04,"smoking","F001"
"cg10898310",0.006,0.0012,9.8e-07,1e-04,"smoking","F001"
"cg03450635",-0.0062,0.0013,9.8e-07,1e-04,"smoking","F001"
"cg09529165",0.0095,0.0019,9.8e-07,1e-04,"smoking","F001"
"cg07483304",-0.0059,0.0012,9.9e-07,1e-04,"smoking","F001"
"cg12044210",0.0066,0.0013,9.9e-07,1e-04,"smoking","F001"
"cg17177599",-0.0044,9e-04,9.9e-07,1e-04,"smoking","F001"
"cg26325791",0.0074,0.0015,9.9e-07,1e-04,"smoking","F001"
"cg19831957",-0.0065,0.0013,9.9e-07,1e-04,"smoking","F001"
"cg07929768",0.0092,0.0019,1e-06,1e-04,"smoking","F001"
"cg01276536",0.0047,0.001,1e-06,1e-04,"smoking","F001"
"cg23550060",-0.0028,6e-04,1e-06,1e-04,"smoking","F001"
"cg14674856",0.0059,0.0012,1e-06,1e-04,"smoking","F001"
"cg14823389",0.0125,0.0026,1e-06,1e-04,"smoking","F001"
"cg20509092",0.0025,5e-04,1e-06,1e-04,"smoking","F001"
"cg24158160",0.0092,0.0019,1e-06,1e-04,"smoking","F001"
"cg13494428",-0.0057,0.0012,1e-06,1e-04,"smoking","F001"
"cg02165355",0.0046,9e-04,1e-06,1e-04,"smoking","F001"
"cg07546943",0.0074,0.0015,1e-06,1e-04,"smoking","F001"
"cg16871449",0.0098,0.002,1e-06,1e-04,"smoking","F001"
"cg16517298",-0.0152,0.0031,1e-06,1e-04,"smoking","F001"
"cg24431966",0.0047,0.001,1e-06,1e-04,"smoking","F001"
"cg04820679",-0.0054,0.0011,1e-06,1e-04,"smoking","F001"
"cg01604883",-0.0059,0.0012,1e-06,1e-04,"smoking","F001"
"cg04439252",-0.0041,8e-04,1e-06,1e-04,"smoking","F001"
"cg07475654",0.0023,5e-04,1e-06,1e-04,"smoking","F001"
"cg19499581",-0.0043,9e-04,1e-06,1e-04,"smoking","F001"
"cg19057830",-0.0125,0.0026,1e-06,1e-04,"smoking","F001"
"cg04258133",0.0099,0.002,1e-06,1e-04,"smoking","F001"
"cg22555517",0.0079,0.0016,1e-06,1e-04,"smoking","F001"
"cg15069471",-0.0085,0.0017,1e-06,1e-04,"smoking","F001"
"cg00777445",0.0058,0.0012,1e-06,1e-04,"smoking","F001"
"cg15132169",-0.0122,0.0025,1e-06,1e-04,"smoking","F001"
"cg13238479",-0.007,0.0014,1e-06,1e-04,"smoking","F001"
"cg03433699",-0.0061,0.0013,1e-06,1e-04,"smoking","F001"
"cg01328806",0.0033,7e-04,1e-06,1e-04,"smoking","F001"
"cg12155684",0.0065,0.0013,1e-06,1e-04,"smoking","F001"
"cg08087047",0.0077,0.0016,1e-06,1e-04,"smoking","F001"
"cg22653878",-0.0075,0.0015,1e-06,1e-04,"smoking","F001"
"cg26581729",-0.006,0.0012,1e-06,1e-04,"smoking","F001"
"cg07342322",-0.0082,0.0017,1e-06,1e-04,"smoking","F001"
"cg27426287",0.0038,8e-04,1e-06,1e-04,"smoking","F001"
"cg24389054",-0.0194,0.004,1e-06,1e-04,"smoking","F001"
"cg00782200",-0.0129,0.0026,1e-06,1e-04,"smoking","F001"
"cg22801799",0.0013,3e-04,1e-06,1e-04,"smoking","F001"
"cg00193668",-0.0075,0.0015,1e-06,1e-04,"smoking","F001"
"cg10536303",-0.0015,3e-04,1e-06,1e-04,"smoking","F001"
"cg20047055",-0.0044,9e-04,1e-06,1e-04,"smoking","F001"
"cg05527044",-0.0072,0.0015,1e-06,1e-04,"smoking","F001"
"cg25512107",-0.0026,5e-04,1e-06,1e-04,"smoking","F001"
"cg09889350",-0.0078,0.0016,1e-06,1e-04,"smoking","F001"
"cg16395997",0.0075,0.0015,1e-06,1e-04,"smoking","F001"
"cg03637976",-0.0064,0.0013,1e-06,1e-04,"smoking","F001"
"cg16021018",0.0082,0.0017,1e-06,1e-04,"smoking","F001"
"cg10801607",0.0073,0.0015,1.1e-06,1e-04,"smoking","F001"
"cg04311403",-0.0164,0.0034,1.1e-06,1e-04,"smoking","F001"
"cg01419713",-0.0074,0.0015,1.1e-06,1e-04,"smoking","F001"
"cg26860257",-0.005,0.001,1.1e-06,1e-04,"smoking","F001"
"cg02878284",-0.0054,0.0011,1.1e-06,1e-04,"smoking","F001"
"cg14796708",-0.0033,7e-04,1.1e-06,1e-04,"smoking","F001"
"cg27135286",0.0027,6e-04,1.1e-06,1e-04,"smoking","F001"
"cg05920870",0.0025,5e-04,1.1e-06,1e-04,"smoking","F001"
"cg05978306",0.0052,0.0011,1.1e-06,1e-04,"smoking","F001"
"cg27423445",-0.0123,0.0025,1.1e-06,1e-04,"smoking","F001"
"cg08123207",-0.0121,0.0025,1.1e-06,1e-04,"smoking","F001"
"cg26610808",0.0063,0.0013,1.1e-06,1e-04,"smoking","F001"
"cg12931554",0.003,6e-04,1.1e-06,1e-04,"smoking","F001"
"cg14200834",0.0051,0.001,1.1e-06,1e-04,"smoking","F001"
"cg26389330",0.0063,0.0013,1.1e-06,1e-04,"smoking","F001"
"cg10090414",-0.0082,0.0017,1.1e-06,1e-04,"smoking","F001"
"cg21205288",-0.004,8e-04,1.1e-06,1e-04,"smoking","F001"
"cg18310515",0.0071,0.0015,1.1e-06,1e-04,"smoking","F001"
"cg26435670",-0.0065,0.0013,1.1e-06,1e-04,"smoking","F001"
"cg09500443",0.0056,0.0012,1.1e-06,1e-04,"smoking","F001"
"cg02968508",-0.0088,0.0018,1.1e-06,1e-04,"smoking","F001"
"cg04174091",-0.0104,0.0021,1.1e-06,1e-04,"smoking","F001"
"cg07223648",-0.0038,8e-04,1.1e-06,1e-04,"smoking","F001"
"cg01206728",0.0019,4e-04,1.1e-06,1e-04,"smoking","F001"
"cg02553070",-0.004,8e-04,1.1e-06,1e-04,"smoking","F001"
"cg08047086",-0.0077,0.0016,1.1e-06,1e-04,"smoking","F001"
"cg07825294",-0.0068,0.0014,1.1e-06,1e-04,"smoking","F001"
"cg13392258",-0.0179,0.0037,1.1e-06,1e-04,"smoking","F001"
"cg00407944",0.0042,9e-04,1.1e-06,1e-04,"smoking","F001"
"cg07870237",0.0058,0.0012,1.1e-06,1e-04,"smoking","F001"
"cg14669515",0.0031,6e-04,1.1e-06,1e-04,"smoking","F001"
"cg16267979",-0.0034,7e-04,1.1e-06,1e-04,"smoking","F001"
"cg21387281",0.0068,0.0014,1.1e-06,1e-04,"smoking","F001"
"cg05143694",-0.0078,0.0016,1.1e-06,1e-04,"smoking","F001"
"cg02890250",0.0057,0.0012,1.1e-06,1e-04,"smoking","F001"
"cg12963656",0.0051,0.0011,1.1e-06,1e-04,"smoking","F001"
"cg07113006",-0.0135,0.0028,1.1e-06,1e-04,"smoking","F001"
"cg01910869",0.0023,5e-04,1.1e-06,1e-04,"smoking","F001"
"cg23928468",-0.0026,5e-04,1.2e-06,1e-04,"smoking","F001"
"cg22990871",0.0088,0.0018,1.2e-06,1e-04,"smoking","F001"
"cg26344982",-0.0019,4e-04,1.2e-06,1e-04,"smoking","F001"
"cg26601496",0.0041,8e-04,1.2e-06,1e-04,"smoking","F001"
"cg06369322",-0.0095,0.002,1.2e-06,1e-04,"smoking","F001"
"cg13522406",-0.0047,0.001,1.2e-06,1e-04,"smoking","F001"
"cg26145504",-0.0074,0.0015,1.2e-06,1e-04,"smoking","F001"
"cg06981309",-0.0128,0.0026,1.2e-06,1e-04,"smoking","F001"
"cg11606444",0.0066,0.0014,1.2e-06,1e-04,"smoking","F001"
"cg21723559",-0.0038,8e-04,1.2e-06,1e-04,"smoking","F001"
"cg04795044",0.0038,8e-04,1.2e-06,1e-04,"smoking","F001"
"cg03116948",0.0032,7e-04,1.2e-06,1e-04,"smoking","F001"
"cg06588876",-0.0041,8e-04,1.2e-06,1e-04,"smoking","F001"
"cg00689213",-0.0104,0.0021,1.2e-06,1e-04,"smoking","F001"
"cg02688118",0.0078,0.0016,1.2e-06,1e-04,"smoking","F001"
"cg13081720",0.0062,0.0013,1.2e-06,1e-04,"smoking","F001"
"cg05359853",0.0027,6e-04,1.2e-06,1e-04,"smoking","F001"
"cg12062672",-0.0057,0.0012,1.2e-06,1e-04,"smoking","F001"
"cg00565882",0.0117,0.0024,1.2e-06,1e-04,"smoking","F001"
"cg27460040",-0.0106,0.0022,1.2e-06,1e-04,"smoking","F001"
"cg27475169",-0.0063,0.0013,1.2e-06,1e-04,"smoking","F001"
"cg22356324",-0.0059,0.0012,1.2e-06,1e-04,"smoking","F001"
"cg21073212",-0.0064,0.0013,1.2e-06,1e-04,"smoking","F001"
"cg20642413",-0.0059,0.0012,1.2e-06,1e-04,"smoking","F001"
"cg01832549",-0.0181,0.0037,1.2e-06,1e-04,"smoking","F001"
"cg23320011",-0.0042,9e-04,1.2e-06,1e-04,"smoking","F001"
"cg09636163",-0.008,0.0017,1.2e-06,1e-04,"smoking","F001"
"cg08841257",0.0053,0.0011,1.2e-06,1e-04,"smoking","F001"
"cg17631390",-0.006,0.0012,1.2e-06,1e-04,"smoking","F001"
"cg03631078",0.0096,0.002,1.2e-06,1e-04,"smoking","F001"
"cg01492538",0.0059,0.0012,1.2e-06,1e-04,"smoking","F001"
"cg12670305",-0.009,0.0019,1.2e-06,1e-04,"smoking","F001"
"cg08832745",0.0047,0.001,1.2e-06,1e-04,"smoking","F001"
"cg05711037",0.0043,9e-04,1.2e-06,1e-04,"smoking","F001"
"cg06382930",-0.0074,0.0015,1.2e-06,1e-04,"smoking","F001"
"cg10454193",0.0055,0.0011,1.2e-06,1e-04,"smoking","F001"
"cg10362475",-0.0154,0.0032,1.2e-06,1e-04,"smoking","F001"
"cg18382353",0.0062,0.0013,1.2e-06,2e-04,"smoking","F001"
"cg02106466",0.0034,7e-04,1.2e-06,2e-04,"smoking","F001"
"cg19419291",-0.0171,0.0035,1.2e-06,2e-04,"smoking","F001"
"cg07599786",-0.0159,0.0033,1.2e-06,2e-04,"smoking","F001"
"cg18465082",-0.0071,0.0015,1.2e-06,2e-04,"smoking","F001"
"cg11385013",-0.0057,0.0012,1.2e-06,2e-04,"smoking","F001"
"cg00092400",0.0104,0.0022,1.2e-06,2e-04,"smoking","F001"
"cg08471335",0.0108,0.0022,1.2e-06,2e-04,"smoking","F001"
"cg00007987",-0.0035,7e-04,1.2e-06,2e-04,"smoking","F001"
"cg02276831",-0.01,0.0021,1.2e-06,2e-04,"smoking","F001"
"cg11719157",0.0099,0.002,1.2e-06,2e-04,"smoking","F001"
"cg24761597",-0.0052,0.0011,1.2e-06,2e-04,"smoking","F001"
"cg07092896",0.0066,0.0014,1.3e-06,2e-04,"smoking","F001"
"cg02081733",0.0045,9e-04,1.3e-06,2e-04,"smoking","F001"
"cg05022105",-0.0053,0.0011,1.3e-06,2e-04,"smoking","F001"
"cg26295057",0.0036,7e-04,1.3e-06,2e-04,"smoking","F001"
"cg13672342",-0.0054,0.0011,1.3e-06,2e-04,"smoking","F001"
"cg15194251",-0.0052,0.0011,1.3e-06,2e-04,"smoking","F001"
"cg04202338",-0.0038,8e-04,1.3e-06,2e-04,"smoking","F001"
"cg24979407",0.0031,6e-04,1.3e-06,2e-04,"smoking","F001"
"cg00237876",-0.0099,0.002,1.3e-06,2e-04,"smoking","F001"
"cg04942251",-0.0116,0.0024,1.3e-06,2e-04,"smoking","F001"
"cg14631541",-0.0042,9e-04,1.3e-06,2e-04,"smoking","F001"
"cg15834037",-0.0061,0.0013,1.3e-06,2e-04,"smoking","F001"
"cg20973476",0.0025,5e-04,1.3e-06,2e-04,"smoking","F001"
"cg12006284",0.0097,0.002,1.3e-06,2e-04,"smoking","F001"
"cg05157625",-0.0102,0.0021,1.3e-06,2e-04,"smoking","F001"
"cg23132624",0.0049,0.001,1.3e-06,2e-04,"smoking","F001"
"cg08928189",0.0052,0.0011,1.3e-06,2e-04,"smoking","F001"
"cg06240690",0.0075,0.0015,1.3e-06,2e-04,"smoking","F001"
"cg10319474",0.0044,9e-04,1.3e-06,2e-04,"smoking","F001"
"cg06750167",0.0066,0.0014,1.3e-06,2e-04,"smoking","F001"
"cg11907477",0.006,0.0012,1.3e-06,2e-04,"smoking","F001"
"cg04454050",0.0057,0.0012,1.3e-06,2e-04,"smoking","F001"
"cg16498391",0.0056,0.0012,1.3e-06,2e-04,"smoking","F001"
"cg27547291",0.0048,0.001,1.3e-06,2e-04,"smoking","F001"
"cg21109167",-0.0036,7e-04,1.3e-06,2e-04,"smoking","F001"
"cg11157816",0.0036,7e-04,1.3e-06,2e-04,"smoking","F001"
"cg10937802",-0.0065,0.0013,1.3e-06,2e-04,"smoking","F001"
"cg14626907",0.0085,0.0018,1.3e-06,2e-04,"smoking","F001"
"cg08386009",-0.0081,0.0017,1.3e-06,2e-04,"smoking","F001"
"cg01676182",0.003,6e-04,1.3e-06,2e-04,"smoking","F001"
"cg21645826",-0.0064,0.0013,1.3e-06,2e-04,"smoking","F001"
"cg01575601",-0.0072,0.0015,1.3e-06,2e-04,"smoking","F001"
"cg10482632",-0.004,8e-04,1.3e-06,2e-04,"smoking","F001"
"cg08915603",0.0049,0.001,1.3e-06,2e-04,"smoking","F001"
"cg06264984",0.0066,0.0014,1.3e-06,2e-04,"smoking","F001"
"cg00816609",0.0045,9e-04,1.3e-06,2e-04,"smoking","F001"
"cg18934106",-0.0069,0.0014,1.3e-06,2e-04,"smoking","F001"
"cg00329447",-0.0073,0.0015,1.3e-06,2e-04,"smoking","F001"
"cg10840361",0.0037,8e-04,1.3e-06,2e-04,"smoking","F001"
"cg23474501",0.0077,0.0016,1.3e-06,2e-04,"smoking","F001"
"cg06750076",-0.0026,5e-04,1.3e-06,2e-04,"smoking","F001"
"cg14129473",0.0073,0.0015,1.3e-06,2e-04,"smoking","F001"
"cg05055150",0.0071,0.0015,1.3e-06,2e-04,"smoking","F001"
"cg16861076",0.0124,0.0026,1.3e-06,2e-04,"smoking","F001"
"cg27184903",0.0072,0.0015,1.3e-06,2e-04,"smoking","F001"
"cg24224501",0.0037,8e-04,1.3e-06,2e-04,"smoking","F001"
"cg00588614",-0.0045,9e-04,1.4e-06,2e-04,"smoking","F001"
"cg03043406",-0.0132,0.0027,1.4e-06,2e-04,"smoking","F001"
"cg15636859",0.0101,0.0021,1.4e-06,2e-04,"smoking","F001"
"cg01354473",0.0049,0.001,1.4e-06,2e-04,"smoking","F001"
"cg25751484",0.005,0.001,1.4e-06,2e-04,"smoking","F001"
"cg05877104",-0.0093,0.0019,1.4e-06,2e-04,"smoking","F001"
"cg16259171",0.0109,0.0023,1.4e-06,2e-04,"smoking","F001"
"cg25967031",-0.0047,0.001,1.4e-06,2e-04,"smoking","F001"
"cg19015086",-0.0079,0.0016,1.4e-06,2e-04,"smoking","F001"
"cg15107641",0.0045,9e-04,1.4e-06,2e-04,"smoking","F001"
"cg01078772",-0.0058,0.0012,1.4e-06,2e-04,"smoking","F001"
"cg05147525",0.0052,0.0011,1.4e-06,2e-04,"smoking","F001"
"cg10044470",0.0071,0.0015,1.4e-06,2e-04,"smoking","F001"
"cg23586595",0.0064,0.0013,1.4e-06,2e-04,"smoking","F001"
"cg00308665",0.0095,0.002,1.4e-06,2e-04,"smoking","F001"
"cg27366007",-0.0064,0.0013,1.4e-06,2e-04,"smoking","F001"
"cg10946510",-0.0048,0.001,1.4e-06,2e-04,"smoking","F001"
"cg04709736",0.0049,0.001,1.4e-06,2e-04,"smoking","F001"
"cg07618110",-0.0045,9e-04,1.4e-06,2e-04,"smoking","F001"
"cg23484392",-0.0117,0.0024,1.4e-06,2e-04,"smoking","F001"
"cg21926626",0.0083,0.0017,1.4e-06,2e-04,"smoking","F001"
"cg19838043",0.0131,0.0027,1.4e-06,2e-04,"smoking","F001"
"cg14127336",-0.0121,0.0025,1.4e-06,2e-04,"smoking","F001"
"cg00811122",-0.0054,0.0011,1.4e-06,2e-04,"smoking","F001"
"cg23998240",0.0051,0.0011,1.4e-06,2e-04,"smoking","F001"
"cg16792613",-0.0082,0.0017,1.4e-06,2e-04,"smoking","F001"
"cg02010196",0.0045,9e-04,1.4e-06,2e-04,"smoking","F001"
"cg13389502",0.0076,0.0016,1.4e-06,2e-04,"smoking","F001"
"cg11201256",-0.003,6e-04,1.4e-06,2e-04,"smoking","F001"
"cg12593812",0.0016,3e-04,1.4e-06,2e-04,"smoking","F001"
"cg21091547",-0.0164,0.0034,1.4e-06,2e-04,"smoking","F001"
"cg26196496",-0.0048,0.001,1.4e-06,2e-04,"smoking","F001"
"cg08620329",-0.0148,0.0031,1.4e-06,2e-04,"smoking","F001"
"cg11554650",-0.0044,9e-04,1.4e-06,2e-04,"smoking","F001"
"cg02812767",-0.0097,0.002,1.4e-06,2e-04,"smoking","F001"
"cg07199524",-0.0026,5e-04,1.4e-06,2e-04,"smoking","F001"
"cg19227031",-0.0125,0.0026,1.4e-06,2e-04,"smoking","F001"
"cg23596233",0.0055,0.0011,1.4e-06,2e-04,"smoking","F001"
"cg16521040",-0.0061,0.0013,1.5e-06,2e-04,"smoking","F001"
"cg05895711",-0.0093,0.0019,1.5e-06,2e-04,"smoking","F001"
"cg08521987",0.003,6e-04,1.5e-06,2e-04,"smoking","F001"
"cg01553004",-0.0069,0.0014,1.5e-06,2e-04,"smoking","F001"
"cg02835462",0.0068,0.0014,1.5e-06,2e-04,"smoking","F001"
"cg09841774",0.0054,0.0011,1.5e-06,2e-04,"smoking","F001"
"cg25845985",-0.0071,0.0015,1.5e-06,2e-04,"smoking","F001"
"cg01930356",0.0023,5e-04,1.5e-06,2e-04,"smoking","F001"
"cg10021364",-0.0056,0.0012,1.5e-06,2e-04,"smoking","F001"
"cg06607384",-0.009,0.0019,1.5e-06,2e-04,"smoking","F001"
"cg06335008",0.0046,0.001,1.5e-06,2e-04,"smoking","F001"
"cg21631918",-0.0098,0.002,1.5e-06,2e-04,"smoking","F001"
"cg08162476",-0.0054,0.0011,1.5e-06,2e-04,"smoking","F001"
"cg05090966",-0.005,0.001,1.5e-06,2e-04,"smoking","F001"
"cg00021275",0.0079,0.0016,1.5e-06,2e-04,"smoking","F001"
"cg07081759",0.0095,0.002,1.5e-06,2e-04,"smoking","F001"
"cg13956924",0.0054,0.0011,1.5e-06,2e-04,"smoking","F001"
